	age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	income
0	72	 Self-emp-inc	 5th-6th	7	 Never-married	 Other-service	 Other-relative	 Black	 Female	16974	3360	31	 Jamaica	 <=50K
1	66	 Self-emp-inc	 HS-grad	6	 Never-married	 Machine-op-inspct	 Own-child	 Black	 Female	69619	2777	28	 Japan	 >50K
2	40	 Local-gov	 7th-8th	11	 Married-civ-spouse	 Handlers-cleaners	 Own-child	 Black	 Female	88352	1120	59	 Ireland	 >50K
3	33	 Self-emp-inc	 Preschool	7	 Married-spouse-absent	 Protective-serv	 Unmarried	 Black	 Male	83091	1824	56	 Haiti	 >50K
4	81	 Private	 Masters	10	 Married-spouse-absent	 Exec-managerial	 Other-relative	 Asian-Pac-Islander	 Female	41382	2637	65	 Hungary	 >50K
5	38	 Self-emp-not-inc	 Assoc-voc	10	 Married-spouse-absent	 Machine-op-inspct	 Unmarried	 Black	 Female	83699	1137	57	 Hong	 >50K
6	57	 Private	 Doctorate	9	 Married-spouse-absent	 Machine-op-inspct	 Not-in-family	 Black	 Male	53448	1791	48	 Honduras	 >50K
7	76	 Self-emp-inc	 Bachelors	6	 Never-married	 Other-service	 Other-relative	 Asian-Pac-Islander	 Male	42620	2707	33	 India	 <=50K
8	52	 Self-emp-not-inc	 12th	11	 Married-spouse-absent	 Exec-managerial	 Other-relative	 Black	 Male	15816	1670	39	 Italy	 <=50K
9	75	 Self-emp-inc	 Masters	6	 Married-spouse-absent	 Protective-serv	 Unmarried	 Black	 Female	61540	3500	61	 Iran	 <=50K
10	44	 Private	 12th	10	 Married-AF-spouse	 Machine-op-inspct	 Unmarried	 Black	 Female	33395	1908	67	 Ireland	 <=50K
11	54	 Self-emp-inc	 11th	10	 Married-spouse-absent	 Exec-managerial	 Other-relative	 Black	 Female	48098	945	42	 Hong	 <=50K
12	84	 Private	 7th-8th	8	 Never-married	 Exec-managerial	 Other-relative	 Black	 Female	39492	2710	57	 India	 >50K
