	age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	income
0	48	 Self-emp-inc	 7th-8th	6	 Married-spouse-absent	 Prof-specialty	 Own-child	 Asian-Pac-Islander	 Female	25354	2277	68	 Nicaragua	 <=50K
1	69	 Self-emp-inc	 1st-4th	8	 Married-spouse-absent	 Prof-specialty	 Not-in-family	 Black	 Male	31046	1450	35	 Scotland	 >50K
2	62	 Private	 Assoc-voc	4	 Married-spouse-absent	 Protective-serv	 Own-child	 Black	 Female	41637	3017	62	 Peru	 <=50K
3	51	 Self-emp-inc	 7th-8th	9	 Married-spouse-absent	 Armed-Forces	 Own-child	 Other	 Male	85397	1038	37	 Laos	 >50K
4	65	 Private	 1st-4th	11	 Married-spouse-absent	 Prof-specialty	 Not-in-family	 Asian-Pac-Islander	 Male	72717	719	41	 Guatemala	 >50K
5	49	 Self-emp-not-inc	 Doctorate	7	 Married-civ-spouse	 Machine-op-inspct	 Own-child	 Other	 Male	24864	2596	55	 Nicaragua	 >50K
6	46	 Self-emp-not-inc	 Assoc-voc	9	 Married-civ-spouse	 Protective-serv	 Not-in-family	 Asian-Pac-Islander	 Female	14177	3365	69	 Outlying-US(Guam-USVI-etc)	 <=50K
7	67	 Private	 HS-grad	7	 Never-married	 Craft-repair	 Unmarried	 Other	 Male	55341	3502	39	 Japan	 >50K
8	30	 Self-emp-not-inc	 HS-grad	6	 Married-AF-spouse	 Handlers-cleaners	 Own-child	 Asian-Pac-Islander	 Female	10352	3406	84	 Philippines	 <=50K
9	58	 Self-emp-inc	 Bachelors	10	 Never-married	 Farming-fishing	 Other-relative	 Black	 Male	80325	1648	19	 Hungary	 >50K
10	53	 Self-emp-inc	 1st-4th	9	 Married-civ-spouse	 Handlers-cleaners	 Wife	 Black	 Female	67749	2603	56	 Iran	 >50K
11	58	 Self-emp-inc	 7th-8th	11	 Married-spouse-absent	 Priv-house-serv	 Not-in-family	 Asian-Pac-Islander	 Male	71491	603	41	 France	 <=50K
12	65	 Self-emp-inc	 5th-6th	9	 Married-spouse-absent	 Priv-house-serv	 Other-relative	 Black	 Male	79189	1816	49	 India	 >50K
13	44	 Private	 Doctorate	5	 Married-spouse-absent	 Machine-op-inspct	 Own-child	 Black	 Female	18680	2875	61	 Philippines	 <=50K
14	62	 Self-emp-not-inc	 7th-8th	7	 Married-spouse-absent	 Prof-specialty	 Own-child	 Black	 Female	27128	1830	54	 Puerto-Rico	 <=50K
15	50	 Private	 Assoc-acdm	9	 Never-married	 Priv-house-serv	 Own-child	 Black	 Female	74571	1597	70	 France	 <=50K
16	74	 Self-emp-not-inc	 9th	9	 Never-married	 Craft-repair	 Own-child	 Other	 Male	64469	2233	25	 Mexico	 >50K
17	61	 Self-emp-inc	 Doctorate	8	 Married-spouse-absent	 Machine-op-inspct	 Own-child	 Black	 Female	60071	2782	40	 Guatemala	 >50K
18	77	 Self-emp-not-inc	 7th-8th	9	 Married-spouse-absent	 Sales	 Other-relative	 Black	 Female	49868	2679	65	 Portugal	 <=50K
19	37	 Self-emp-inc	 Assoc-voc	12	 Married-spouse-absent	 Other-service	 Not-in-family	 Asian-Pac-Islander	 Female	49453	936	47	 Germany	 <=50K
20	75	 Self-emp-inc	 1st-4th	12	 Separated	 Protective-serv	 Own-child	 Black	 Male	68272	988	49	 Honduras	 <=50K
21	27	 Self-emp-not-inc	 Doctorate	11	 Never-married	 Machine-op-inspct	 Own-child	 Asian-Pac-Islander	 Male	8788	2562	47	 Germany	 <=50K
22	59	 Private	 Assoc-voc	9	 Separated	 Protective-serv	 Own-child	 Black	 Male	68702	2201	31	 Guatemala	 <=50K
23	49	 State-gov	 Assoc-voc	7	 Married-civ-spouse	 Machine-op-inspct	 Unmarried	 Black	 Female	43385	2984	83	 Scotland	 <=50K
24	73	 Self-emp-inc	 1st-4th	9	 Married-spouse-absent	 Farming-fishing	 Other-relative	 Other	 Male	90379	1369	14	 Hungary	 >50K
25	51	 Self-emp-inc	 9th	6	 Married-civ-spouse	 Prof-specialty	 Other-relative	 Black	 Female	8961	3290	65	 Poland	 <=50K
26	70	 Private	 9th	9	 Never-married	 Protective-serv	 Not-in-family	 Black	 Male	74523	1084	23	 Haiti	 >50K
27	49	 Self-emp-inc	 9th	7	 Married-AF-spouse	 Machine-op-inspct	 Not-in-family	 Black	 Female	36862	2264	56	 Scotland	 <=50K
28	54	 Local-gov	 Assoc-acdm	8	 Married-spouse-absent	 Prof-specialty	 Not-in-family	 Black	 Male	66701	778	52	 Hong	 <=50K
29	35	 Private	 9th	10	 Never-married	 Other-service	 Other-relative	 Asian-Pac-Islander	 Male	54790	1566	76	 Germany	 <=50K
30	64	 State-gov	 Assoc-acdm	8	 Married-civ-spouse	 Machine-op-inspct	 Unmarried	 Other	 Female	32716	3757	65	 South	 >50K
31	76	 Self-emp-inc	 12th	11	 Never-married	 Priv-house-serv	 Own-child	 Black	 Male	67301	1094	25	 Iran	 <=50K
32	50	 State-gov	 9th	10	 Married-spouse-absent	 Machine-op-inspct	 Unmarried	 Black	 Female	33009	2432	80	 Japan	 <=50K
33	59	 Self-emp-inc	 HS-grad	8	 Married-spouse-absent	 Machine-op-inspct	 Unmarried	 Other	 Female	61179	3546	45	 Japan	 >50K
34	55	 Private	 HS-grad	7	 Married-spouse-absent	 Farming-fishing	 Other-relative	 Black	 Female	79084	2303	24	 Holand-Netherlands	 >50K
35	46	 Private	 Bachelors	6	 Married-spouse-absent	 Exec-managerial	 Own-child	 Other	 Male	60283	2529	51	 Ireland	 >50K
36	65	 Self-emp-not-inc	 9th	7	 Married-spouse-absent	 Machine-op-inspct	 Unmarried	 Black	 Female	53514	2742	56	 Mexico	 >50K
37	34	 Self-emp-not-inc	 HS-grad	6	 Married-AF-spouse	 Farming-fishing	 Unmarried	 Black	 Female	12029	3637	69	 Peru	 <=50K
38	45	 Self-emp-not-inc	 HS-grad	11	 Married-spouse-absent	 Machine-op-inspct	 Not-in-family	 Asian-Pac-Islander	 Female	69395	1929	54	 India	 <=50K
39	65	 Self-emp-inc	 Assoc-acdm	10	 Never-married	 Sales	 Not-in-family	 Asian-Pac-Islander	 Female	48396	1654	58	 India	 <=50K
40	54	 Self-emp-inc	 5th-6th	6	 Married-AF-spouse	 Other-service	 Other-relative	 Black	 Female	53532	2759	67	 Puerto-Rico	 >50K
41	57	 Self-emp-not-inc	 7th-8th	12	 Married-spouse-absent	 Priv-house-serv	 Own-child	 Asian-Pac-Islander	 Female	70646	1032	47	 Germany	 <=50K
42	59	 Self-emp-inc	 Assoc-acdm	4	 Married-AF-spouse	 Priv-house-serv	 Own-child	 Black	 Female	49600	3607	71	 Scotland	 >50K
43	73	 Self-emp-inc	 7th-8th	8	 Married-spouse-absent	 Handlers-cleaners	 Unmarried	 Other	 Female	88228	1990	38	 Nicaragua	 >50K
44	39	 Self-emp-inc	 7th-8th	10	 Never-married	 Exec-managerial	 Other-relative	 Asian-Pac-Islander	 Male	64128	795	47	 El-Salvador	 <=50K
45	40	 Self-emp-not-inc	 HS-grad	6	 Married-civ-spouse	 Protective-serv	 Other-relative	 Asian-Pac-Islander	 Female	7275	3509	80	 Philippines	 <=50K
46	43	 Self-emp-not-inc	 Doctorate	7	 Married-civ-spouse	 Farming-fishing	 Unmarried	 Black	 Female	53176	3073	56	 Laos	 >50K
47	67	 Self-emp-inc	 Bachelors	8	 Never-married	 Exec-managerial	 Unmarried	 Other	 Female	50655	2910	20	 Ireland	 >50K
48	43	 Self-emp-inc	 Bachelors	10	 Married-civ-spouse	 Handlers-cleaners	 Not-in-family	 Asian-Pac-Islander	 Male	52311	1894	61	 Greece	 <=50K
49	42	 Self-emp-not-inc	 Assoc-voc	10	 Married-civ-spouse	 Machine-op-inspct	 Own-child	 Asian-Pac-Islander	 Female	51121	2981	69	 Greece	 <=50K
50	69	 Self-emp-inc	 9th	6	 Married-spouse-absent	 Protective-serv	 Not-in-family	 Black	 Female	39530	2417	43	 Portugal	 >50K
51	59	 Self-emp-not-inc	 5th-6th	8	 Married-spouse-absent	 Machine-op-inspct	 Unmarried	 Black	 Male	27679	3419	68	 Mexico	 >50K
52	33	 Local-gov	 Assoc-voc	8	 Never-married	 Exec-managerial	 Other-relative	 Black	 Male	42267	2274	45	 Iran	 <=50K
53	24	 Self-emp-inc	 Masters	12	 Never-married	 Farming-fishing	 Other-relative	 Asian-Pac-Islander	 Female	57888	1158	34	 Germany	 <=50K
54	52	 Self-emp-not-inc	 Assoc-acdm	11	 Married-spouse-absent	 Other-service	 Other-relative	 Black	 Male	22223	1178	51	 Laos	 <=50K
55	69	 Self-emp-inc	 Assoc-acdm	7	 Married-civ-spouse	 Other-service	 Own-child	 Other	 Female	66060	2603	57	 South	 >50K
56	56	 Self-emp-not-inc	 5th-6th	6	 Married-civ-spouse	 Farming-fishing	 Other-relative	 Black	 Male	8553	3095	44	 South	 <=50K
57	53	 Self-emp-not-inc	 9th	11	 Never-married	 Farming-fishing	 Own-child	 Black	 Male	50893	1444	20	 Greece	 >50K
58	58	 Self-emp-inc	 9th	13	 Never-married	 Other-service	 Own-child	 Asian-Pac-Islander	 Female	82911	1105	50	 Greece	 >50K
59	33	 Self-emp-inc	 Assoc-voc	10	 Married-spouse-absent	 Exec-managerial	 Unmarried	 Black	 Male	45099	2024	60	 France	 >50K
60	34	 Self-emp-inc	 Bachelors	5	 Married-civ-spouse	 Machine-op-inspct	 Own-child	 Black	 Male	8617	2873	74	 Laos	 <=50K
61	60	 Private	 Assoc-acdm	10	 Never-married	 Farming-fishing	 Own-child	 Black	 Male	55027	2067	53	 Hong	 >50K
62	39	 Self-emp-not-inc	 9th	7	 Married-civ-spouse	 Machine-op-inspct	 Own-child	 Black	 Male	23456	2290	62	 Ireland	 <=50K
63	43	 Self-emp-not-inc	 Doctorate	9	 Married-spouse-absent	 Prof-specialty	 Unmarried	 Black	 Female	26300	2825	62	 Hong	 <=50K
64	41	 Local-gov	 Bachelors	10	 Married-spouse-absent	 Machine-op-inspct	 Not-in-family	 Asian-Pac-Islander	 Male	72014	1973	52	 Holand-Netherlands	 >50K
65	36	 State-gov	 Assoc-voc	8	 Married-civ-spouse	 Exec-managerial	 Unmarried	 Black	 Female	23156	3356	74	 Puerto-Rico	 <=50K
66	46	 Self-emp-not-inc	 Doctorate	9	 Married-spouse-absent	 Other-service	 Unmarried	 Black	 Female	60981	3467	58	 Laos	 >50K
67	47	 Self-emp-inc	 9th	5	 Married-AF-spouse	 Machine-op-inspct	 Own-child	 Black	 Male	48015	2470	56	 Philippines	 <=50K
68	46	 State-gov	 Assoc-voc	10	 Married-civ-spouse	 Farming-fishing	 Unmarried	 Black	 Female	55781	2658	53	 Honduras	 >50K
69	37	 Self-emp-inc	 Doctorate	7	 Married-spouse-absent	 Priv-house-serv	 Unmarried	 Black	 Female	63753	2328	73	 Germany	 <=50K
70	81	 Self-emp-inc	 5th-6th	8	 Married-civ-spouse	 Priv-house-serv	 Not-in-family	 Other	 Male	61564	1651	29	 Puerto-Rico	 >50K
