	age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	income
0	50	 Self-emp-not-inc	 Doctorate	4	 Never-married	 Prof-specialty	 Not-in-family	 Other	 Female	16633	1777	65	 Ireland	 <=50K
1	70	 Self-emp-not-inc	 9th	10	 Married-spouse-absent	 Machine-op-inspct	 Own-child	 Asian-Pac-Islander	 Male	71810	2269	88	 Outlying-US(Guam-USVI-etc)	 >50K
2	62	 Self-emp-not-inc	 Assoc-acdm	11	 Never-married	 Farming-fishing	 Own-child	 Other	 Female	56192	2931	37	 Greece	 <=50K
3	53	 Self-emp-not-inc	 Bachelors	14	 Married-civ-spouse	 Craft-repair	 Unmarried	 Asian-Pac-Islander	 Female	76397	3132	47	 Guatemala	 >50K
4	55	 Self-emp-not-inc	 Preschool	4	 Never-married	 Priv-house-serv	 Not-in-family	 Other	 Female	19294	1643	39	 Iran	 <=50K
5	57	 Private	 1st-4th	8	 Never-married	 Sales	 Other-relative	 Black	 Male	43048	1019	72	 Trinadad&Tobago	 <=50K
6	65	 Local-gov	 7th-8th	8	 Married-AF-spouse	 Other-service	 Own-child	 Asian-Pac-Islander	 Male	37739	1702	66	 Ireland	 >50K
7	48	 Self-emp-not-inc	 1st-4th	11	 Never-married	 Machine-op-inspct	 Own-child	 Asian-Pac-Islander	 Female	60491	1183	45	 Hungary	 <=50K
8	41	 State-gov	 Masters	12	 Married-spouse-absent	 Handlers-cleaners	 Unmarried	 Other	 Female	42610	2993	77	 Greece	 <=50K
9	73	 State-gov	 7th-8th	9	 Never-married	 Machine-op-inspct	 Own-child	 Black	 Female	70276	3081	56	 Jamaica	 >50K
10	51	 Self-emp-not-inc	 Masters	8	 Separated	 Priv-house-serv	 Own-child	 Black	 Female	35470	2214	46	 Hungary	 <=50K
11	58	 Private	 Doctorate	11	 Married-civ-spouse	 Machine-op-inspct	 Unmarried	 Black	 Male	76683	2793	70	 Ireland	 >50K
12	34	 Self-emp-not-inc	 7th-8th	6	 Never-married	 Priv-house-serv	 Own-child	 Black	 Female	38109	1148	49	 Honduras	 <=50K
13	75	 Self-emp-inc	 1st-4th	12	 Never-married	 Handlers-cleaners	 Unmarried	 Black	 Female	78498	2865	53	 Italy	 >50K
14	65	 Self-emp-inc	 Bachelors	8	 Married-spouse-absent	 Prof-specialty	 Other-relative	 Asian-Pac-Islander	 Male	44649	1667	71	 Poland	 >50K
15	45	 Self-emp-not-inc	 Assoc-voc	3	 Married-spouse-absent	 Prof-specialty	 Not-in-family	 Asian-Pac-Islander	 Male	13017	1583	62	 Hungary	 <=50K
16	58	 State-gov	 1st-4th	7	 Married-spouse-absent	 Protective-serv	 Other-relative	 Asian-Pac-Islander	 Male	41316	1615	91	 Peru	 <=50K
17	62	 Self-emp-inc	 1st-4th	5	 Separated	 Prof-specialty	 Not-in-family	 Black	 Female	51666	1598	37	 Philippines	 <=50K
18	54	 Local-gov	 HS-grad	14	 Married-civ-spouse	 Handlers-cleaners	 Unmarried	 Other	 Male	85067	3384	34	 Hong	 >50K
19	44	 Private	 Bachelors	8	 Married-spouse-absent	 Other-service	 Other-relative	 Other	 Male	44865	2580	35	 Laos	 >50K
20	47	 Private	 Assoc-acdm	12	 Married-spouse-absent	 Prof-specialty	 Unmarried	 Other	 Male	75579	3269	70	 Italy	 >50K
21	42	 Federal-gov	 Doctorate	14	 Married-civ-spouse	 Priv-house-serv	 Unmarried	 Other	 Male	67274	3508	14	 Greece	 >50K
22	48	 Self-emp-inc	 HS-grad	9	 Married-spouse-absent	 Farming-fishing	 Unmarried	 Other	 Female	55020	2834	50	 Germany	 >50K
23	33	 Private	 9th	9	 Married-civ-spouse	 Machine-op-inspct	 Own-child	 Asian-Pac-Islander	 Male	46197	1718	21	 Hungary	 <=50K
24	47	 Self-emp-not-inc	 12th	4	 Separated	 Machine-op-inspct	 Not-in-family	 Black	 Female	18431	819	24	 Iran	 <=50K
25	37	 State-gov	 Assoc-voc	9	 Never-married	 Farming-fishing	 Other-relative	 Other	 Male	42970	1893	23	 Nicaragua	 <=50K
26	43	 Self-emp-not-inc	 1st-4th	5	 Married-spouse-absent	 Machine-op-inspct	 Not-in-family	 Black	 Female	22416	479	30	 Peru	 <=50K
27	43	 Private	 Assoc-voc	12	 Married-AF-spouse	 Farming-fishing	 Unmarried	 Other	 Female	64634	2481	47	 India	 <=50K
28	55	 Self-emp-inc	 1st-4th	8	 Married-spouse-absent	 Handlers-cleaners	 Own-child	 Other	 Female	36074	2603	29	 Haiti	 <=50K
29	44	 Self-emp-inc	 HS-grad	6	 Married-spouse-absent	 Craft-repair	 Not-in-family	 Asian-Pac-Islander	 Female	37442	2633	24	 Germany	 >50K
30	55	 State-gov	 9th	13	 Never-married	 Farming-fishing	 Unmarried	 Other	 Female	72915	2681	50	 Honduras	 <=50K
31	41	 State-gov	 Masters	6	 Separated	 Farming-fishing	 Other-relative	 Other	 Female	28233	2668	16	 Dominican-Republic	 <=50K
32	49	 Self-emp-inc	 Assoc-acdm	12	 Never-married	 Machine-op-inspct	 Unmarried	 Other	 Female	58900	2644	44	 Haiti	 <=50K
33	56	 Self-emp-not-inc	 Assoc-voc	5	 Married-spouse-absent	 Protective-serv	 Other-relative	 Asian-Pac-Islander	 Male	30158	1030	80	 Ireland	 <=50K
34	36	 Self-emp-not-inc	 Masters	12	 Married-AF-spouse	 Farming-fishing	 Other-relative	 Black	 Male	34359	2030	62	 Outlying-US(Guam-USVI-etc)	 >50K
35	59	 Self-emp-not-inc	 7th-8th	3	 Never-married	 Sales	 Not-in-family	 Black	 Male	10331	1086	70	 Nicaragua	 >50K
36	74	 State-gov	 HS-grad	5	 Never-married	 Priv-house-serv	 Not-in-family	 Other	 Male	41190	1936	86	 Peru	 >50K
37	55	 State-gov	 Assoc-acdm	3	 Never-married	 Other-service	 Not-in-family	 Asian-Pac-Islander	 Male	20417	1225	69	 Laos	 <=50K
38	57	 State-gov	 Assoc-acdm	2	 Separated	 Machine-op-inspct	 Not-in-family	 Asian-Pac-Islander	 Female	23667	1724	48	 Hungary	 <=50K
39	51	 State-gov	 Doctorate	6	 Married-spouse-absent	 Protective-serv	 Not-in-family	 Black	 Male	20914	1083	85	 Portugal	 <=50K
40	38	 State-gov	 1st-4th	6	 Never-married	 Prof-specialty	 Own-child	 Black	 Female	47399	1639	86	 Iran	 <=50K
41	48	 Without-pay	 5th-6th	3	 Separated	 Priv-house-serv	 Not-in-family	 Asian-Pac-Islander	 Male	16721	1216	82	 Mexico	 <=50K
42	35	 Local-gov	 Bachelors	14	 Married-AF-spouse	 Prof-specialty	 Unmarried	 Black	 Male	75328	2719	40	 Iran	 >50K
43	33	 Self-emp-not-inc	 Masters	7	 Married-spouse-absent	 Exec-managerial	 Other-relative	 Asian-Pac-Islander	 Female	20867	2648	22	 Germany	 >50K
44	60	 State-gov	 Assoc-acdm	6	 Separated	 Exec-managerial	 Not-in-family	 Other	 Female	28713	2772	29	 Hong	 >50K
45	67	 Self-emp-not-inc	 Assoc-voc	6	 Married-spouse-absent	 Machine-op-inspct	 Not-in-family	 Other	 Female	40349	2572	55	 Italy	 >50K
46	41	 Local-gov	 Assoc-acdm	8	 Married-civ-spouse	 Prof-specialty	 Own-child	 Asian-Pac-Islander	 Male	47252	1669	43	 Ireland	 <=50K
47	46	 Self-emp-inc	 HS-grad	11	 Married-spouse-absent	 Priv-house-serv	 Unmarried	 Other	 Male	59794	1373	64	 Puerto-Rico	 <=50K
48	52	 State-gov	 7th-8th	7	 Never-married	 Other-service	 Other-relative	 Other	 Male	28573	2357	62	 Mexico	 <=50K
49	65	 Self-emp-inc	 1st-4th	4	 Married-spouse-absent	 Sales	 Not-in-family	 Black	 Male	22122	1029	61	 Philippines	 <=50K
50	55	 State-gov	 5th-6th	7	 Married-spouse-absent	 Machine-op-inspct	 Unmarried	 Other	 Female	65461	2794	63	 Hong	 <=50K
51	54	 Self-emp-inc	 Assoc-acdm	12	 Never-married	 Protective-serv	 Unmarried	 Black	 Male	69043	2629	69	 Outlying-US(Guam-USVI-etc)	 >50K
52	35	 Self-emp-not-inc	 Assoc-acdm	8	 Married-AF-spouse	 Exec-managerial	 Other-relative	 Asian-Pac-Islander	 Female	26079	1486	57	 Jamaica	 <=50K
53	38	 State-gov	 9th	6	 Separated	 Machine-op-inspct	 Other-relative	 Asian-Pac-Islander	 Male	36868	1348	52	 Honduras	 <=50K
54	60	 Private	 Masters	10	 Married-civ-spouse	 Priv-house-serv	 Own-child	 Black	 Male	62112	2799	68	 India	 >50K
55	40	 Self-emp-not-inc	 7th-8th	5	 Never-married	 Handlers-cleaners	 Other-relative	 Black	 Female	19807	1253	32	 Hong	 <=50K
56	54	 Self-emp-inc	 Bachelors	4	 Married-civ-spouse	 Machine-op-inspct	 Not-in-family	 Asian-Pac-Islander	 Male	24549	2537	42	 Japan	 >50K
57	41	 Self-emp-not-inc	 Bachelors	7	 Married-civ-spouse	 Exec-managerial	 Other-relative	 Asian-Pac-Islander	 Female	20830	1204	56	 Holand-Netherlands	 <=50K
58	49	 Private	 Assoc-voc	6	 Married-spouse-absent	 Priv-house-serv	 Own-child	 Asian-Pac-Islander	 Male	33247	1912	70	 Haiti	 >50K
59	40	 Private	 Doctorate	14	 Married-spouse-absent	 Machine-op-inspct	 Unmarried	 Other	 Female	72405	3098	11	 India	 >50K
60	71	 Self-emp-not-inc	 9th	11	 Separated	 Handlers-cleaners	 Own-child	 Black	 Female	67819	3314	41	 Haiti	 >50K
61	51	 Self-emp-inc	 HS-grad	8	 Married-spouse-absent	 Handlers-cleaners	 Other-relative	 White	 Female	36493	2964	49	 Japan	 >50K
62	48	 Private	 Bachelors	6	 Married-civ-spouse	 Handlers-cleaners	 Not-in-family	 Asian-Pac-Islander	 Female	32154	2342	35	 Hong	 >50K
